
Изменение параметров за 169 витков:
+----------------------+----------------------+------------------+------------------------+-----------------------+
|         ДВУ          | Аргумент перицентра  | Большая полуось  |     Эксцентриситет     |       Наклонение      |
+----------------------+----------------------+------------------+------------------------+-----------------------+
| -0.40856538589935654 | -0.19332404003824832 | 2498.83718419075 | 0.00022744596283452712 | 4.668148398456751e-05 |
+----------------------+----------------------+------------------+------------------------+-----------------------+
Изменение параметров за 169 витков теоретически:
+---------------------+----------------------+
|         ДВУ         | Аргумент перицентра  |
+---------------------+----------------------+
| -0.4096536463953996 | -0.19415838307562241 |
+---------------------+----------------------+



Параметры орбиты в начале каждого витка:
+-------------+---------------------+---------------------+--------------------+---------------------+--------------------+------------------------+
| Номер витка |         ДВУ         | Аргумент перицентра |  Большая полуось   |    Эксцентриситет   |     Наклонение     |   Истинная аномалия    |
|      39     |  0.6081344499411014 |  1.3265473490215007 | 8059431.833996156  | 0.15003928171620315 | 1.2000080719801915 | 0.00019015681320433409 |
|      40     |  0.6057168947358854 |  1.3254032276109755 | 8059443.837375395  | 0.15004036753198863 | 1.200008296693544  | 0.00023351326282061713 |
|      41     |  0.603299538365631  |  1.3242622804951476 | 8059458.510965829  |  0.1500417341219436 | 1.2000085690530429 | 3.4786795219066136e-05 |
|      42     |  0.6008819821127995 |  1.3231181441053586 | 8059470.624267431  | 0.15004282996931603 | 1.2000087958165575 | 7.815815220513223e-05  |
|      43     |  0.5984644253882945 |  1.321974001656434  |  8059482.78708301  | 0.15004393026753093 | 1.2000090235075882 | 0.00012153553074645274 |
|      44     |  0.596046868190217  |  1.3208298531250962 | 8059494.999354124  | 0.15004503501133434 | 1.2000092521250183 | 0.00016491895375048138 |
|      45     |  0.5936293105166532 |  1.3196856984880732 | 8059507.261021616  | 0.15004614419543294 | 1.2000094816677318 | 0.00020830844407382365 |
|      46     |  0.591211951084356  |  1.3185447020286354 | 8059522.248549857  |  0.1500475400322717 | 1.200009759846563  | 9.631128844000969e-06  |
|      47     |  0.5887943923408021 |  1.3174005320919082 | 8059534.619460495  |  0.1500486591854001 | 1.2000099914266256 | 5.303584593119304e-05  |
|      48     |  0.5863768331155869 |  1.3162563559678078 | 8059547.039576961  | 0.15004978276143902 | 1.2000102239283623 | 9.644671132202909e-05  |
|      49     |  0.5839592734068101 |  1.3151121736329463 | 8059559.508838735  |  0.1500509107550211 |  1.20001045735063  | 0.0001398637485545695  |
|      50     |  0.5815417132125702 |  1.3139679850641577 | 8059572.027185856  | 0.15005204316069176 | 1.200010691692297  | 0.00018328698092018314 |
|      51     |  0.5791241525309692 |  1.3128237902381517 | 8059584.594558218  | 0.15005317997303577 | 1.2000109269522135 | 0.00022671643153704402 |
|      52     |  0.5767067893672179 |  1.3116827340344892 | 8059599.953582306  | 0.15005461037048823 | 1.2000112120195383 | 2.8098629316186674e-05 |
|      53     |  0.5742892275891496 |  1.3105385235329223 | 8059612.629369477  | 0.15005575707574245 | 1.200011449301183  | 7.154368064465899e-05  |
|      54     |  0.5718716653176084 |  1.309394306693297  | 8059625.353985606  | 0.15005690816982142 | 1.2000116874973814 | 0.00011499503088718832 |
|      55     |  0.5694541025506923 |  1.3082500834924247 | 8059638.127370143  | 0.15005806364724983 | 1.2000119266069587 | 0.00015845270295500313 |
|      56     |  0.567036539286529  |  1.307105853907417  | 8059650.949461084  |  0.1500592235024602 | 1.2000121666287566 | 0.00020191671929015165 |
|      57     |  0.5646191729198725 |  1.3059647460988584 | 8059666.618060321  |  0.1500606827370876 | 1.2000124574336342 | 3.350322444362064e-06  |
|      58     |  0.5622016085371652 |  1.304820500522676  | 8059679.547855531  | 0.15006185241976727 | 1.2000126994637563 | 4.683025356944093e-05  |
|      59     |  0.559784043651126  |  1.3036762484819386 | 8059692.526157609  |  0.150063026462073  | 1.2000129424023136 |  9.03166086949625e-05  |
|      60     |  0.5573664782598845 |  1.302531989953781  | 8059705.552903541  | 0.15006420485836974 | 1.2000131862481296 | 0.0001338094105427512  |
|      61     |  0.5549489123615882 |  1.3013877249152146 | 8059718.628030954  |  0.1500653876029897 | 1.2000134309999966 | 0.00017730868218412965 |
|      62     |  0.5525313459543375 |  1.300243453343279  | 8059731.751476619  |  0.1500665746902735 | 1.2000136766567309 | 0.00022081444619126422 |
|      63     |  0.5501139756896399 |  1.2991022831342562 | 8059747.786256711  |  0.1500680679869968 | 1.200013974250464  | 2.231020747389678e-05  |
|      64     |  0.5476964081377494 |  1.2979579952011286 |  8059761.0165412   | 0.15006926482218724 | 1.200014221899218  | 6.583225380119018e-05  |
|      65     |   0.54527884007089  |  1.2968137006551963 | 8059774.294939386  | 0.15007046598144488 | 1.2000144704489715 | 0.00010936087162294328 |
